,ticker,something,somethingelse
0,Name,Exchange,Sector
1,Agrometal S.A. (AGRO),XBUE,Mobile Machinery
2,Aluar Aluminio Argentino S.A.I.C. (ALUA),XBUE,Aluminum
3,Autopistas del Sol S.A. Series D ARS (AUSO),XBUE,Transportation Services
4,Banco BBVA Argentina S.A. (BBAR),XBUE,Banking
5,Banco Hipotecario S.A. (BHIP),XBUE,Banking
6,Banco Patagonia S.A. (BPAT),XBUE,Banking
7,Banco Santander (Brasil) S/A CEDEAR (BSBR),XBUE,Banking
8,B-Gaming S.A. (GAMI),XBUE,Computer Services
9,Boldt S.A. (BOLT),XBUE,Computer Services
10,Cablevision Holding S.A. (CVH),XBUE,Broadcasting
11,Camuzzi Gas Pampeana S.A. (CGPA2),XBUE,Gas Utilities
12,Capex S.A. (CAPX),XBUE,Electric Utilities
13,Carboclor S.A. (CARC),XBUE,Chemicals
14,Carlos Casado S.A. (CADO),XBUE,Farming
15,Celulosa Argentina S.A. (CELU),XBUE,Paper/Pulp
16,Compania de Transporte de Energia Electrica en Alta Tension TRANSENER S.A. (TRAN),XBUE,Electric Utilities
17,Compania Introductora de Buenos Aires S.A. (INTR),XBUE,Food Products
18,Cresud S.A.C.I.F. y A. (CRES),XBUE,Farming
19,Distribuidora de Gas Cuyana S.A. (DGCU2),XBUE,Gas Utilities
20,DOMEC S.A. (DOME),XBUE,Housewares
21,Dycasa S.A. (DYCA),XBUE,Construction
22,Edesa Holding S.A. (EDSH),XBUE,Electric Utilities
23,Empresa Distribuidora y Comercializadora Norte S.A. (EDN),XBUE,Electric Utilities
24,Fiplasto S.A. (FIPL),XBUE,Forestry & Wood Products
25,Garovaglio y Zorraquin S.A. (GARO),XBUE,Diversified Holding Companies
26,Gold Fields Ltd. CEDEAR (GFI),XBUE,Gold
27,Grimoldi S.A. (GRIM),XBUE,Footwear
28,Grupo Clarin S.A. (GCLA),XBUE,Broadcasting
29,Grupo Concesionario del Oeste S.A. (OEST),XBUE,Transportation Services
30,Grupo Financiero Valores S.A. (VALO),XBUE,Securities
31,Grupo Supervielle S.A. (SUPV),XBUE,Banking
32,Grupo Televisa S.A.B. CEDEAR (TV),XBUE,Broadcasting
33,Harmony Gold Mining Co. Ltd. (HMY),XBUE,Gold
34,Havanna Holding S.A. (HAVA),XBUE,Food Products
35,Holcim (Argentina) S.A. (HARG),XBUE,Building Materials/Products
36,Importadora y Exportadora de la Patagonia S.A. (PATA),XBUE,Food Retail
37,Instituto Rosenbusch S.A. (ROSE),XBUE,Pharmaceuticals
38,Inversora Juramento S.A. (INVJ),XBUE,Farming
39,IRSA-Inversiones y Representaciones S.A. (IRSA),XBUE,Real Estate Developers
40,Laboratorios Richmond SACIF (RICH),XBUE,Pharmaceuticals
41,Ledesma S.A.A.I. (LEDE),XBUE,Food Products
42,Loma Negra Compania Industrial Argentina S.A. (LOMA),XBUE,Building Materials/Products
43,Longvie S.A. (LONG),XBUE,Housewares
44,Matba Rofex S.A. (MTR),XBUE,Securities
45,MetroGas S.A. (METR),XBUE,Gas Utilities
46,Mirgor S.A. (MIRG),XBUE,Motor Vehicle Parts
47,Molinos Agro S.A. (MOLA),XBUE,Food Products
48,Molinos Juan Semino S.A. (SEMI),XBUE,Food Products
49,Molinos Rio de la Plata S.A. (MOLI),XBUE,Food Products
50,Morixe Hermanos S.A. (MORI),XBUE,Food Products
51,Naturgy BAN S.A. (GBAN),XBUE,Gas Utilities
52,Pampa Energia S.A. (PAMP),XBUE,Electric Utilities
53,Polledo S.A. (POLL),XBUE,Construction
54,Rigolleau S.A. (RIGO),XBUE,Housewares
55,Rio Tinto PLC CEDEAR (RIO),XBUE,General Mining
56,San Miguel S.A. (SAMI),XBUE,Food Products
57,Sociedad Comercial del Plata S.A. (COME),XBUE,Diversified Holding Companies
58,Telecom Argentina S.A. Cl B (TECO2),XBUE,Wireless Telecommunications Services
59,Transportadora de Gas del Norte S.A. C (TGNO4),XBUE,Pipeline Transportation
60,Transportadora de Gas del Sur S.A. (TGSU2),XBUE,Pipeline Transportation
